CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
563,SE,OzD,3,4,5,4,2,3,4,3,5,4,5,5,2,2,16,1,60
565,SE,OzD,3, , ,3,2,2,3,2.333333333,1,2,2,1,2,1,15,1,140
567,SE,OzD,4,3,4,3.666666667,2,2,1,1.666666667,4,4,4,4,3,1,15,1,59
570,SE,OzD, ,3,5,4,2,2,2,2,5,5,5,5,2,2,16,1,180
572,SE,OzD,3,2, ,2.5,1,1,1,1,3,3,4,3,2,1,15,1,130
574,SE,OzD,4,4,4,4,2,3,1,2,5,4,5,5, ,2,16,1,160
578,SE,OzD,5,4,5,4.666666667,2,3,2,2.333333333,3,2,3,4, ,2,16,1,69
590,SE,JRG,4,4,4,4,1,2,2,1.666666667,4,3,3,3, ,2,17,1,124
592,SE,JRG,4,5,5,4.666666667,2,4,3,3,3,3,3,2,4,1,16,1,150
594,SE,JRG,3,4,4,3.666666667,2,2,2,2,2,5,4,5,3,1,17,1,156
595,SE,JRG,4,2,2,2.666666667,2,4,2,2.666666667,3,4,4,3,3,1,17,1,134
597,SE,JRG,5,4,4,4.333333333,1,3,3,2.333333333,4,3,5,4, ,2,16,1,176
599,SE,JRG, ,4,2,3,2,2,3,2.333333333,3,4,4,4, ,1,17,1,139
601,SE,JRG,4,4,3,3.666666667,2,4,2,2.666666667,5,4,5,4,2,,,1,153
603,SE,JRG,3,4,4,3.666666667,2,3,4,3, ,3,4, , ,2,17,1,137
605,SE,JRG,5,4,4,4.333333333,2,3,2,2.333333333,2,4,3,3,2,2,17,1,244
609,SE,JRG,2,4,4,3.333333333,1,2,1,1.333333333,4,3,4,4, ,2,17,1,58
611,SE,JRG,4,3,4,3.666666667,1,2,2,1.666666667,4,5,5,5, ,1,17,1,120
296,U1,Detlefsengymnasium,,2,,2,1,3,3,2.333333333,,3,4,4,2,1,17,0,
168,U1,FPS,3,2,,2.5,,2,1,1.5,,4,,4,,2,17,0,
173,U1,FPS,4,1,5,3.333333333,3,4,4,3.666666667,,4,4,3,,2,15,0,
175,U1,FPS,2,4,4,3.333333333,2,2,1,1.666666667,5,4,4,4,3,2,16,0,
181,U1,FPS,4,,,4,2,2,2,2,,4,4,5,,2,17,0,
116,U1,FPS,3,1,4,2.666666667,2,3,2,2.333333333,3,3,4,4,3,2,17,0,
169,U1,FPS,4,3,4,3.666666667,2,2,1,1.666666667,3,3,3,3,4,2,16,0,
246,U1,Detlefsengymnasium,2,3,4,3,1,2,3,2,3,1,4,4,3,1,17,0,
238,U1,Detlefsengymnasium,3,2,3,2.666666667,,1,1,1,4,3,4,4,3,1,17,0,
233,U1,Detlefsengymnasium,2,2,2,2,2,2,2,2,3,3,4,4,2,1,16,0,
118,U1,FPS,2,3,3,2.666666667,1,2,2,1.666666667,2,3,3,4,2,1,17,0,
252,U1,Detlefsengymnasium,4,4,4,4,1,3,2,2,2,3,4,3,4,2,17,0,
295,U1,Detlefsengymnasium,,4,4,4,2,3,3,2.666666667,3,4,4,3,,1,17,0,
174,U1,FPS,2,3,2,2.333333333,1,2,1,1.333333333,1,3,4,1,1,1,17,0,
120,U1,FPS,4,4,4,4,2,3,3,2.666666667,3,4,4,3,3,1,16,0,
297,U1,Detlefsengymnasium,3,2,,2.5,1,2,1,1.333333333,,2,,,,1,17,0,
183,U1,FPS,2,4,3,3,2,3,2,2.333333333,3,4,4,4,3,1,17,0,
119,U1,FPS,4,4,4,4,2,3,2,2.333333333,4,4,5,4,4,2,17,0,
110,U1,FPS,2,3,5,3.333333333,2,3,5,3.333333333,3,4,5,5,,1,17,0,
193,U1,FPS,3,4,4,3.666666667,1,3,2,2,4,3,5,4,2,1,16,0,
250,U1,Detlefsengymnasium,4,4,4,4,3,4,2,3,,4,5,2,,2,17,0,
249,U1,Detlefsengymnasium,3,4,4,3.666666667,4,2,3,3,4,4,4,4,3,2,17,0,
176,U1,FPS,1,2,3,2,1,2,2,1.666666667,3,3,5,4,2,2,17,0,
292,U1,Detlefsengymnasium,2,4,,3,,3,2,2.5,,4,3,4,,2,16,0,
