CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
545,SE,GymB,3,4,3,3.333333333,1,2,2,1.666666667,3,3,5,4,1,1,17,1,96
560,SE,OzD,4,5,5,4.666666667,2,3,3,2.666666667,4,4,5, ,4,1,16,1,140
568,SE,OzD,2, , ,2,2,2,2,2,3,3,4, , ,2,16,1,150
571,SE,OzD,3,3,4,3.333333333,2,2,4,2.666666667, ,3,4,3, ,1,16,1,158
573,SE,OzD,1,3,3,2.333333333,2,3,2,2.333333333,4,3,5,3,2,1,16,1,119
576,SE,OzD,2,3,3,2.666666667,1,3,3,2.333333333,4,4,4,4,2,1,16,1,122
589,SE,JRG,2,2,4,2.666666667,1,3,3,2.333333333,2,3,2,1,3,2,18,1,61
591,SE,JRG,3,4,3,3.333333333,1,2,1,1.333333333,2,2,2,2,3,2,16,1,63
593,SE,JRG,2,3,2,2.333333333,2,2,3,2.333333333,4,4,4,3, ,1,17,1,146
596,SE,JRG,2,3,3,2.666666667,2,3,2,2.333333333,4,4,4,4, ,1,17,1,170
598,SE,JRG,5,5,4,4.666666667,2,5,3,3.333333333,4,3,4,5,3,2,17,1,137
602,SE,JRG,4,3,3,3.333333333,2,2,2,2,3,3,4,5, ,2,18,1,134
604,SE,JRG,5,5,4,4.666666667,1,4,4,3,5,4,5,4,1,2,17,1,175
606,SE,JRG,4,4,5,4.333333333,2,4,3,3,4,4,5,4,2,2,17,1,84
610,SE,JRG,5,4,3,4,2,3,2,2.333333333,4,3,3,4, ,2,17,1,55
296,U1,Detlefsengymnasium,,2,,2,1,3,3,2.333333333,,3,4,4,2,1,17,0,
168,U1,FPS,3,2,,2.5,,2,1,1.5,,4,,4,,2,17,0,
173,U1,FPS,4,1,5,3.333333333,3,4,4,3.666666667,,4,4,3,,2,15,0,
175,U1,FPS,2,4,4,3.333333333,2,2,1,1.666666667,5,4,4,4,3,2,16,0,
181,U1,FPS,4,,,4,2,2,2,2,,4,4,5,,2,17,0,
116,U1,FPS,3,1,4,2.666666667,2,3,2,2.333333333,3,3,4,4,3,2,17,0,
169,U1,FPS,4,3,4,3.666666667,2,2,1,1.666666667,3,3,3,3,4,2,16,0,
246,U1,Detlefsengymnasium,2,3,4,3,1,2,3,2,3,1,4,4,3,1,17,0,
238,U1,Detlefsengymnasium,3,2,3,2.666666667,,1,1,1,4,3,4,4,3,1,17,0,
233,U1,Detlefsengymnasium,2,2,2,2,2,2,2,2,3,3,4,4,2,1,16,0,
118,U1,FPS,2,3,3,2.666666667,1,2,2,1.666666667,2,3,3,4,2,1,17,0,
252,U1,Detlefsengymnasium,4,4,4,4,1,3,2,2,2,3,4,3,4,2,17,0,
295,U1,Detlefsengymnasium,,4,4,4,2,3,3,2.666666667,3,4,4,3,,1,17,0,
174,U1,FPS,2,3,2,2.333333333,1,2,1,1.333333333,1,3,4,1,1,1,17,0,
