CASE,QUESTNNR,AA07_01,DD10_01,DD10_02,DD10_03,Resilienz,DD11_01,DD11_02,DD11_03,KenntnisVT,DD02_02,DD12_01,DD13_02,DD13_03,DD13_05,AB05,AB06_01,ZZ01,TIME001
434,SE,CJB,5,5,5,5,2,4,2,2.666666667,4,3,5,5,2,1,16,2,531
435,SE,CJB,5,4,4,4.333333333,2,5,4,3.666666667,2,4,4,4,3,2,17,3,497
436,SE,CJB,4,4,4,4,1,3,2,2,4,5,4,4,2,2,17,3,210
437,SE,CJB,3,4,2,3,1,1,2,1.333333333,3,3,4,3, ,1,17,2,413
439,SE,CJB,2,4, ,3,2,2,3,2.333333333,3,4,3,4, ,1,16,3,345
440,SE,CJB,4,2, ,3,1,1,1,1,4,3, ,4, ,2,16,3,302
441,SE,CJB,4,4,4,4,1,2,3,2,4,3,4,3,2,1,17,2,50
443,SE,CJB,4,4,4,4,1,4,4,3,5,5,5,5,1,1,17,3,181
444,SE,CJB,3,3,2,2.666666667,1,2,2,1.666666667,2,3,4,3, ,1,16,2,220
445,SE,CJB,4,4,4,4,1,4,4,3,1, ,4,1,2,2,16,3,225
447,SE,CJB,4,4,3,3.666666667,1, ,2,1.5,4,3,4,5,2,2,19,3,106
463,SE,KKS,4,3,4,3.666666667,2,2,2,2,4,4,4,5,2,1,16,3,45
464,SE,KKS,3,4,4,3.666666667,3,3,4,3.333333333,4,3,5,5,2,2,17,2,106
468,SE,KKS,4,4,4,4,1,2,2,1.666666667,3,4,4,4,2,1,17,3,201
469,SE,KKS,4,3, ,3.5,2,2,1,1.666666667,3,4,4,4, ,1,17,2,50
470,SE,KKS, ,4,4,4,2,3,4,3,1,3,4,3,4,1,18,2,133
471,SE,KKS, ,3,3,3,2,1,2,1.666666667,4,4,4,4, ,1,17,3,68
473,SE,KKS,5,5,4,4.666666667,1,3,2,2,4,4,5,4, ,2,17,2,52
474,SE,KKS,3,4,5,4,2,2,3,2.333333333, ,4,5,3,2,1,16,2,141
476,SE,GymB,2,4,3,3,2,4,2,2.666666667,2,4,2,4,2,1,17,2,148
478,SE,GymB,2,3, ,2.5,1,2,2,1.666666667,4,3, ,4,2,1,17,3,181
480,SE,GymB,2,4,4,3.333333333,1,1,1,1,4,5,4,4,1,1,17,2,83
481,SE,GymB,4,4,4,4, ,4,4,4,4,4,3,3,4,2,16,3,78
482,SE,GymB,2,2,3,2.333333333,2,3,3,2.666666667,2,4,4,3,2,1,16,3,186
484,SE,GymB,4,4,4,4,1,3,2,2,5,4,4,5,3,2,17,3,216
485,SE,GymB, ,1,2,1.5, ,1,1,1, ,2,3,3, ,1,16,2,114
486,SE,GymB,5,5,4,4.666666667,2,3,1,2, ,2,5,5,3,2,17,3,68
489,SE,GymB,3,4,3,3.333333333,2,3,3,2.666666667,4,4,4,4,3,1,16,3,86
491,SE,GymB,4,3,2,3,1,3,3,2.333333333,3,3,4,3,2,1,17,2,81
492,SE,GymB,2,4,4,3.333333333,1,2,2,1.666666667,4,3,4,5, ,1,17,2,54
493,SE,GymB,5,3,4,4,2,2,2,2, ,2,4, ,2,1,17,3,144
497,SE,GymB,2,4,3,3,2,1,2,1.666666667, ,4,4,4, ,1,16,3,74
498,SE,GymB,4,5,5,4.666666667,2,5,3,3.333333333,4,3,5,5,2,2,17,2,143
